cuisine_list,restaurant_count,avg_demand_index,demand_percentile,supply_percentile,gap_score
Burger,4,33.94,100.0,26.923076923076923,73.1
Coffee,3,32.02,69.23076923076923,7.6923076923076925,61.5
Asian,5,33.72,92.3076923076923,50.0,42.3
Cafe,5,33.06,84.61538461538461,50.0,34.6
Fast Food,4,31.36,61.53846153846154,26.923076923076923,34.6
Italian,4,31.05,53.84615384615385,26.923076923076923,26.9
Continental,6,32.54,76.92307692307693,61.53846153846154,15.4
Seafood,4,28.58,30.76923076923077,26.923076923076923,3.8
North Indian,8,30.69,46.15384615384615,84.61538461538461,-38.5
Chinese,7,28.34,15.384615384615385,73.07692307692307,-57.7
South Indian,9,28.93,38.46153846153847,96.15384615384616,-57.7
Desserts,7,28.18,7.6923076923076925,73.07692307692307,-65.4
Kerala,9,28.51,23.076923076923077,96.15384615384616,-73.1
