name,locality,rating,review_count,cuisine,address,price_range,url,review_count_num
Elevate Resto - Travancore Court,kochi,4.3,50,"North Indian, South Indian, Chinese","Travancore Court, Warriam Road, Pallimukku, Kochi",,/kochi/elevate-resto-travancore-court-pallimukku/info,50.0
Fort House Restaurant,kochi,4.5,601,"Seafood, Kerala, Fast Food","2/6-A, Calvathy Road, Fort Kochi, Kochi",,/kochi/fort-house-restaurant-fort-kochi/info,601.0
Latest Recipe - Le Méridien Kochi,kochi,4.4,"2,550","North Indian, Continental, Chinese","Le Méridien, Nettoor, Marad, Kochi",,/kochi/latest-recipe-le-méridien-kochi-marad/info,2550.0
Roastown,kochi,4.5,"1,089","Asian, Italian, Burger","37/3469-A1, A2, A3, Old Cheranallur Road, Edappally, Kochi",,/kochi/roastown-edappally/info,1089.0
Yaacht Kitchen,kochi,4.0,116,"Kerala, South Indian, Continental","Thrikkakara, Chakkaraparambu Road, Ernakulam City, Kochi",,/kochi/yaacht-kitchen-ernakulam-city/info,116.0
Space 9,kochi,4.3,51,"South Indian, North Indian, Chinese","DG/2, Poonithura, Ernakulam, Marad, Kochi",,/kochi/space-9-marad/info,51.0
Cheenavala,kochi,4.1,"2,152","South Indian, Kerala, Seafood","National Highway Byepass, Ernakulam, Edappally, Kochi",,/kochi/cheenavala-edappally/info,2152.0
Kubaba,kochi,4.2,"9,398","Biryani, Mandi, Arabic","1/1294 Fortum Spaces, Next To Rak Apartment, Marottichuvadu, P.O, Thrikkakara Circle, Ernakulam, Edappally, Kochi",,/kochi/kubaba-edappally/info,9398.0
Kyra,kochi,4.5,69,"Beverages, Mughlai, Desserts","33/1739, Holiday Inn, A Junction, National Highway Bypass, Chakkaraparambu, Ernakulam, Vennala, Kochi",,/kochi/kyra-vennala/info,69.0
Paragon Restaurant,Kozhikode,4.4,13.1K,"North Indian, Biryani, Seafood","B 62/1442, Grand Building, North Circle, Kannur Road, Vellayil, Kozhikode",,/kozhikode/paragon-restaurant-vellayil/order,13100.0
Pure South,Kozhikode,4.0,174,South Indian,"61/6384, Hospitality Private Limited, Khadeeja Building, GH Road, Palayam, Kozhikode",,/kozhikode/pure-south-2-palayam/order,174.0
equiTea.,Kozhikode,4.0,"5,824","Street Food, Tea, Momos","Nadakkavu, Bilathikkulam, Kozhikode",,/kozhikode/equitea-bilathikkulam/order,5824.0
Hotel Sagar-Old Sagar,Kozhikode,3.7,20.5K,"Biryani, South Indian, Kerala","5/3306 & 5/3307, Mavoor Road, Kuttichira, Kozhikode",,/kozhikode/hotel-sagar-old-sagar-kuttichira/order,20500.0
Salkara Restaurant by Paragon,Kozhikode,4.3,"3,687","Kerala, Arabic, Chinese","3/101 C9, 65/373 West Nadakkavu, Kannur Road, Vellayil, Kozhikode",,/kozhikode/salkara-restaurant-by-paragon-vellayil/order,3687.0
TopForm Restaurant,Kozhikode,4.2,22K,"Biryani, Kerala, South Indian","17/63, Golden Plaza Building, Mavoor Road, Head Post Office, Kozhikode South Circle, Kuttichira, Kozhikode",,/kozhikode/topform-restaurant-kuttichira/order,22000.0
Hotel Ambika,Kozhikode,4.4,"7,632","Kerala, South Indian, North Indian","64/40 A, North Cirlce, East Nadakkavu, Eranjipalam, Bilathikkulam, Kozhikode",,/kozhikode/hotel-ambika-1-bilathikkulam/order,7632.0
Subway,Kozhikode,3.9,148,"Healthy Food, Sandwich, Fast Food","61/10519, Shop 101, Ground Floor, The Focus Mall, Rajaji Road, Palayam, Kozhikode",,/kozhikode/subway-3-palayam/order,148.0
Kanjipura Restaurant,Kozhikode,3.8,"4,014","North Indian, South Indian, Kerala","29/2582, 2583, Kanjippura, Thondayad Bypass Road, Ummalathoor, Kozhikode",,/kozhikode/kanjipura-restaurant-ummalathoor/order,4014.0
Diamond Dine Family Restaurant,kasaragod,4.1,438,"South Indian, North Indian","6/980 - 1, 2, 8, NH Road, Kasaragod Locality, Kasaragod",,/kasaragod/diamond-dine-family-restaurant-kasaragod-locality/order,438.0
Golden Bakery,kasaragod,4.2,175,"North Indian, Arabic, Chinese","Door 22/147C/C1/C2/C3, Theruvath, Thalangara, Kasaragod Locality, Kasaragod",,/kasaragod/golden-bakery-2-kasaragod-locality/order,175.0
Dar Al Madhooth,kasaragod,4.0,21,"Mandi, Biryani, Juices","Door KMC 8-203A, Room 1, Zyqo Food Court, Block F, Anangoor, Kasaragod Locality, Kasaragod",,/kasaragod/dar-al-madhooth-kasaragod-locality/order,21.0
AFC,kasaragod,3.6,383,"Burger, Wraps, Fast Food","Kasaragod-Naimarmoola-Perumbala, Kadavu Road, Kasaragod Locality, Kasaragod",,/kasaragod/afc-kasaragod-locality/order,383.0
Parche,kasaragod,4.5,126,"Momos, Chinese, Cafe","OPP KRISHNA HARDWARE M G ROAD KASARAGOD, Kasaragod Circle 'F' Block, Kasaragod, Kerala - 671121, kasaragod, Kerala",,/kasaragod/parche-kasaragod-locality/order,126.0
Chicking,kasaragod,3.7,709,"Fast Food, Biryani, South Indian","20/71, B 16, P K Complex, Nymar Moola, Kasaragod Locality, Kasaragod",,/kasaragod/chicking-kasaragod-locality/order,709.0
Sagar Hotel,kasaragod,3.0,61,"Biryani, Shake, Sandwich","Door KMC 12/225 D, D1, D2, D3 Crystal Arcade, Circle F, MG Road, Kasaragod Locality, Kasaragod",,/kasaragod/sagar-hotel-kasaragod-locality/order,61.0
The Muse Cafe,kasaragod,4.3,62,"Sandwich, Juices, Shake","18-285/A12, F Block, MG Road, Kasaragod Locality, Kasaragod",,/kasaragod/the-muse-cafe-kasaragod-locality/order,62.0
Ocean Sea Food Restaurant,kasaragod,3.9,59,"Seafood, South Indian, North Indian","Door KMC 6/1387, F Block, Karanthakkad, Ashwini Nagar, Kasaragod Locality, Kasaragod",,/kasaragod/ocean-sea-food-restaurant-kasaragod-locality/order,59.0
McDonald's,thiruvanantapuram,4.0,"7,714","Burger, Fast Food, Cafe","TC 15/4558/1/3, Ground And First Floor, Johns Towers, Kesavadasapuram, Trivandrum",,/trivandrum/mcdonalds-kesavadasapuram/order,7714.0
Mothers Veg Plaza,thiruvanantapuram,4.3,49.9K,"South Indian, Kerala, North Indian","Door 14/1981, Bakery Junction, Thiruvananthapuram Circle, Palayam, Trivandrum",,/trivandrum/mothers-veg-plaza-palayam/order,49900.0
Hotel Chinnus,thiruvanantapuram,4.1,24.2K,"Biryani, Chinese, Kerala","T C 3/1647-1, 2, 3, Pattom, Kesavadasapuram, Trivandrum",,/trivandrum/hotel-chinnus-kesavadasapuram/order,24200.0
North Bites,thiruvanantapuram,3.9,"3,742","North Indian, Beverages, Street Food","TC 14/3680, Ground Floor, Pattom, Vattiyoorkavu Circle, Thiruvananthapuram, Kesavadasapuram, Trivandrum",,/trivandrum/north-bites-1-kesavadasapuram/order,3742.0
Hotel Aruna,thiruvanantapuram,4.3,31.5K,"South Indian, North Indian, Chinese","TC 14/2345, MG Road, Palayam, Trivandrum",,/trivandrum/hotel-aruna-palayam/order,31500.0
Jai Sitha Sweets,thiruvanantapuram,4.5,"8,451","Mithai, Street Food, Desserts","TC 23/738/1, Single Street, Valiyasala, Thycaud, Trivandrum",,/trivandrum/jai-sitha-sweets-thycaud/order,8451.0
KFC,thiruvanantapuram,4.2,11.4K,"Burger, Fast Food, Rolls","Ground Floor, Survey 3572/3, Near Brand Factory, Keston Road, Kowdiar, Thiruvananthapuram Circle, Nandavanam, Trivandrum",,/trivandrum/kfc-nandavanam/order,11400.0
Zam Zam YMR,thiruvanantapuram,4.3,52.7K,"Arabic, Biryani, Chinese","TC 25/1624-2, YMR Junction, Nandancode, Kowdiar, Thiruvananthapuram Circle, Ambalamukku, Trivandrum",,/trivandrum/zam-zam-ymr-ambalamukku/order,52700.0
Imperial Kitchen,thiruvanantapuram,4.0,11.2K,"Biryani, Chinese, South Indian","TC 17/2624-3, Vattiyoorkavu Circle, Pattom, Near Cosmopolitan Hospital, Kesavadasapuram, Trivandrum",,/trivandrum/imperial-kitchen-kesavadasapuram/order,11200.0
