name,rating,review_count_num,cuisine,localities_seen,demand_index
Brown's Restaurant,3.6,8052.0,"North Indian, Chinese, South Indian",Fort Kochi,32.38
Cafe 17,4.5,7726.0,"Cafe, Sandwich, Burger",Kadavanthra,40.29
Cake Hut,4.6,1246.0,"Bakery, Desserts","Kadavanthra, Palarivattom",32.79
Cassava - Kochi Marriott Hotel,4.9,344.0,"Kerala, South Indian, Desserts",Palarivattom,28.63
Cheenavala,4.1,2152.0,"South Indian, Kerala, Seafood","Edappally, Ernakulam City, Kakkanad, Kaloor",31.47
Chopstix Signature,4.6,2528.0,"Asian, Chinese, Japanese",Palarivattom,36.04
Cocoa Tree,4.5,2340.0,"Continental, European, Pizza",Kadavanthra,34.91
Cold Stone Creamery,4.2,1693.0,Ice Cream,"Edappally, Kakkanad",31.23
Deli KC - Holiday Inn Cochin,4.2,989.0,"Cafe, Continental, Fast Food","Edappally, Ernakulam City, Kakkanad, Kaloor, MG Road, Marine Drive, Panampilly Nagar",28.97
Elevate Resto - Travancore Court,4.3,50.0,"North Indian, South Indian, Chinese","Ernakulam City, Fort Kochi, Kaloor, MG Road, Marine Drive, Panampilly Nagar",16.91
Fort House Restaurant,4.5,601.0,"Seafood, Kerala, Fast Food","Fort Kochi, MG Road, Marine Drive",28.8
French Toast,4.5,2364.0,"Sandwich, Beverages, Italian","Kadavanthra, Palarivattom",34.96
Grand Pavillion By Grand Hotel,4.5,2747.0,"North Indian, Kerala, Chinese",Fort Kochi,35.63
Hedge Cafe,4.5,674.0,"Continental, Italian, Burger","Kadavanthra, Palarivattom",29.32
Hotel Seagull,4.0,652.0,"Kerala, Seafood, Chinese","Fort Kochi, MG Road, Marine Drive",25.93
KFC,3.7,11700.0,"Burger, Fast Food, Rolls",Fort Kochi,34.66
Kashi Art Cafe,4.5,1529.0,"Cafe, Coffee, Fast Food","Fort Kochi, MG Road, Marine Drive",33.0
Kochi Kitchen - Kochi Marriott Hotel,4.3,2751.0,"South Indian, Asian, North Indian","Edappally, Kakkanad",34.06
Kubaba,4.2,9398.0,"Biryani, Mandi, Arabic","Edappally, Ernakulam City, Kakkanad, Kaloor",38.42
Kyra,4.5,69.0,"Beverages, Mughlai, Desserts","Edappally, Ernakulam City, Kakkanad, Kaloor, MG Road, Marine Drive, Panampilly Nagar",19.12
Latest Recipe - Le Méridien Kochi,4.4,2550.0,"North Indian, Continental, Chinese",Panampilly Nagar,34.51
Malabar Cafe - Grand Hyatt Kochi Bolgatty,3.9,900.0,"Kerala, North Indian, Desserts","Ernakulam City, Fort Kochi, Kaloor, MG Road, Marine Drive, Panampilly Nagar",26.53
Meen By Chef Pillai ,4.3,691.0,"Kerala, Seafood, Desserts","Ernakulam City, Panampilly Nagar",28.12
Nasi And Mee,4.6,5456.0,"Asian, Japanese, Singaporean","Kadavanthra, Palarivattom",39.58
Natural Ice Cream,4.7,4392.0,Ice Cream,"Kadavanthra, Palarivattom",39.42
Pandhal Café & Deli - David Hall,4.3,745.0,"Cafe, Coffee, Italian","Fort Kochi, MG Road, Marine Drive",28.44
Paragon,4.5,47700.0,"South Indian, Continental, North Indian","Edappally, Kakkanad, Kaloor",48.48
Restaurant Chef Pillai,4.4,1589.0,"South Indian, Kerala","Kadavanthra, Panampilly Nagar",32.43
Roastown,4.5,1089.0,"Asian, Italian, Burger","Edappally, Ernakulam City, Kakkanad, Kaloor, Palarivattom",31.47
Space 9,4.3,51.0,"South Indian, North Indian, Chinese",Panampilly Nagar,16.99
Starbucks Coffee,4.4,2611.0,"Cafe, Coffee, Desserts",Palarivattom,34.62
Thai Soul - Grand Hyatt Kochi Bolgatty,4.7,344.0,"Thai, Asian, Desserts",Kadavanthra,27.46
Yaacht Kitchen,4.0,116.0,"Kerala, South Indian, Continental","Edappally, Ernakulam City, Kakkanad, Kaloor, MG Road, Marine Drive, Panampilly Nagar",19.05
